model,component,head_index,sample_size,family,ks_distance,log_likelihood,fit_gap,best_fit
distilgpt2,S_positive,44,64,generalized_gamma,0.04884665111317299,-150.94512677119621,0.0,True
distilgpt2,S_positive,44,64,lognormal,0.0647830531406608,-153.53103713593032,2.5859103647341044,False
distilgpt2,S_positive,45,64,generalized_gamma,0.03659203608034478,-128.86864644782622,0.0,True
distilgpt2,S_positive,45,64,lognormal,0.04093706416772652,-129.04435938752493,0.1757129396987125,False
distilgpt2,S_positive,46,64,generalized_gamma,0.0789320065985476,-194.04822960840744,0.0,True
distilgpt2,S_positive,46,64,lognormal,0.08158282086207147,-198.7141469709037,4.665917362496259,False
distilgpt2,S_positive,47,64,generalized_gamma,0.06406650154340654,-171.30403166915283,0.0,True
distilgpt2,S_positive,47,64,lognormal,0.06142384244400523,-173.03069005487134,1.7266583857185083,False
distilgpt2,S_positive,48,64,generalized_gamma,0.038761594976293695,-144.79297926089785,0.0,True
distilgpt2,S_positive,48,64,lognormal,0.06868384509587988,-147.80659325563943,3.0136139947415757,False
distilgpt2,S_positive,49,64,generalized_gamma,0.039389859052280984,-134.03576215176864,0.0,True
distilgpt2,S_positive,49,64,lognormal,0.08265201545136314,-139.48665242263377,5.450890270865131,False
distilgpt2,S_positive,50,64,generalized_gamma,0.03164042626309114,-136.29107747669752,0.16344306968429123,False
distilgpt2,S_positive,50,64,lognormal,0.029856596994767504,-136.12763440701323,0.0,True
distilgpt2,S_positive,51,64,generalized_gamma,0.05583356201826417,-117.60872229003775,0.5442378216104942,False
distilgpt2,S_positive,51,64,lognormal,0.04287483766059824,-117.06448446842725,0.0,True
distilgpt2,S_positive,52,64,generalized_gamma,0.0381034729718393,-147.39029249721696,0.0,True
distilgpt2,S_positive,52,64,lognormal,0.1241411322007695,-161.97762121006033,14.587328712843373,False
distilgpt2,S_positive,53,64,generalized_gamma,0.10075964936220641,-125.04846329834159,0.0,True
distilgpt2,S_positive,53,64,lognormal,0.20710774076416272,-148.9724709403324,23.924007641990826,False
distilgpt2,S_positive,54,64,generalized_gamma,0.031551735294668315,-132.5325003765614,0.0,True
distilgpt2,S_positive,54,64,lognormal,0.10616277884506997,-144.01627864038005,11.483778263818664,False
distilgpt2,S_positive,55,64,generalized_gamma,0.03652997873483521,-122.55380927084673,0.0,True
distilgpt2,S_positive,55,64,lognormal,0.06033919895661061,-124.25159931337109,1.6977900425243604,False
distilgpt2,S_positive,56,64,generalized_gamma,0.038001150531045885,-133.31226234508364,0.0,True
distilgpt2,S_positive,56,64,lognormal,0.04359911873198996,-133.39309486882775,0.08083252374410677,False
distilgpt2,S_positive,57,64,generalized_gamma,0.045237788063799966,-138.25322414728402,0.0,True
distilgpt2,S_positive,57,64,lognormal,0.10425086522341243,-147.78767986767036,9.534455720386347,False
distilgpt2,S_positive,58,64,generalized_gamma,0.04728057869687752,-122.70161772010674,0.13919639917581605,False
distilgpt2,S_positive,58,64,lognormal,0.04069148002669076,-122.56242132093092,0.0,True
distilgpt2,S_positive,59,64,generalized_gamma,0.055921125932463595,-165.29333648443475,0.0,True
distilgpt2,S_positive,59,64,lognormal,0.07629585253767057,-169.67849567422115,4.385159189786407,False
distilgpt2,S_positive,60,64,generalized_gamma,0.0601611425762458,-113.82029489292904,0.0,True
distilgpt2,S_positive,60,64,lognormal,0.07319361215982562,-117.52838361071318,3.708088717784136,False
distilgpt2,S_positive,61,64,generalized_gamma,0.03906880337989502,-117.89296577170876,0.0,True
distilgpt2,S_positive,61,64,lognormal,0.051862808646104486,-118.65381484579748,0.7608490740887248,False
distilgpt2,S_positive,62,64,generalized_gamma,0.043594535359603226,-109.18364807123356,0.19699065225486834,False
distilgpt2,S_positive,62,64,lognormal,0.04085952005896276,-108.9866574189787,0.0,True
distilgpt2,S_positive,63,64,generalized_gamma,0.054432145653070085,-117.21924408605722,0.013019848448095672,False
distilgpt2,S_positive,63,64,lognormal,0.048970038627614176,-117.20622423760912,0.0,True
distilgpt2,S_positive,64,64,generalized_gamma,0.03253221539733164,-117.33788919449182,0.38504283643229087,False
distilgpt2,S_positive,64,64,lognormal,0.035739244773253076,-116.95284635805953,0.0,True
distilgpt2,S_positive,65,64,generalized_gamma,0.04756776108147126,-117.93377254363494,0.0,True
distilgpt2,S_positive,65,64,lognormal,0.07258940897787935,-119.97994809625271,2.0461755526177683,False
