model,layer,head,mu,nu,tau,k_plus,k_minus,k_T,mode_ratio,shape_ratio,sigma_lambda_correlation,geometric_mean_error
gpt2,4,11,-17.571045042802144,,12.000301529037902,0.9154811869495524,3.8382473568956015,1.9732173769726995,,1.0526493814741973,0.981944403270569,0.19159300720186243
gpt2,5,0,-4.382388088556252,9.4851387255638,6.827019101696674,3.4770764354322075,3.3229114213350606,4.474867810852632,1.0588973396833279,1.3164783141329677,0.9953532476684157,0.08559651371513516
gpt2,5,1,-3.658068269572162,14.68357980755514,7.916978219268004,4.78096437588676,2.651254757294838,4.903560192668207,1.0802333297116469,1.3772983478477703,0.9837242930220012,0.12474335495509592
gpt2,5,2,-5.007026246364718,3.0781733608219466,3.9675776634274214,3.2613340657397956,3.3595863370998686,3.4477329958242002,1.0106225047234274,1.0415810707183115,0.9940392134205783,0.056541959680848235
gpt2,5,3,-4.934676922750503,2.253500350423192,3.3167503871085344,3.035843448065244,4.657793717214684,3.547402725584738,0.9946140993411887,0.9433670083305852,0.9889194271125383,0.032479644649532555
gpt2,5,4,-4.262403195834564,3.3851701766431312,3.8215134686666206,3.6166115969191917,3.926938257760179,3.871828774306559,1.0060460891231893,1.0273967114142728,0.9941476042632231,0.0626471237453141
gpt2,5,5,-6.1475261783434565,7.438166946296818,6.955792776026634,3.3268632926916113,5.943988968160896,4.976275247365154,1.028640171854255,1.1190459480595418,0.9663157555954143,0.06257681334714428
gpt2,5,6,-3.5408695942467534,5.562525866564044,4.90837233599407,3.020300547165548,2.464221841755266,3.8536548398627835,1.1059780600417606,1.4125630171641765,0.9580265145888132,0.18853571343465686
gpt2,5,7,-5.021297858629311,5.65372065572513,5.259934493136196,4.727450238738,4.0979849513966045,4.085689878517556,0.987200053321116,0.9282538005271208,0.9907242765752529,0.05156177594349697
gpt2,5,8,-4.619058209207741,5.100578173527924,4.752252792152859,4.750459017925445,5.5274930927872985,4.447828664797689,0.9790685784355531,0.8679928689650558,0.9883085468546581,0.05943405761249982
gpt2,5,9,-4.30908594471501,0.5434912528025388,2.8186237457028076,1.2084393948418455,3.1195187106253925,4.323540665320493,1.8418245136706741,2.226810771119035,0.9852053371796929,0.44068470242292485
